tags,discription,price,title,Title,img,url
"1W, 5%",,Rs.1.25,150Ω,150Ω,http://scionelectronics.com/wp-content/uploads/2016/12/1W-Resistor-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/150%cf%89-2/
"Diodes,Zener",,Rs.3.50,1W 8.2V  Axial,1W 8.2V  Axial,http://scionelectronics.com/wp-content/uploads/2016/12/Zener-Diode-1W-Scion-Electronics-Sri-Lanka-2.jpg,http://scionelectronics.com/product/1w-8-2v-axial/
"Fuses,Glass",,Rs.3.50,13A DIP,13A DIP,http://scionelectronics.com/wp-content/uploads/2016/12/Fuse-Glass-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/13a-glass-fuse-dip/
"1/2W, 5%,Resistors",,Rs.0.75,18Ω,18Ω,http://scionelectronics.com/wp-content/uploads/2017/01/0.5W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/18%cf%89-4/
"450V,Capacitors,Electrolytic",,Rs.5.00,1UF 450V 8*13mm Electrolytic Capacitor,1UF 450V 8*13mm Electrolytic Capacitor,,http://scionelectronics.com/product/1uf-450v-electrolytic-capacitor/
"400V,Capacitors,Electrolytic",,Rs.4.00,1UF 400V 8*12 Electrolytic Capacitor,1UF 400V 8*12 Electrolytic Capacitor,,http://scionelectronics.com/product/1uf-400v-812-electrolytic-capacitor/
"0805,Resistors,SMD",,Rs.0.25,1MOhm 0805,1MOhm 0805,http://scionelectronics.com/wp-content/uploads/2017/01/SMD-Resistor-0805-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/1mohm-0805/
Fans,,Rs.300.00,12V DC Fan – 120mmx120mmx32mm (Local),12V DC Fan – 120mmx120mmx32mm (Local),http://scionelectronics.com/wp-content/uploads/2016/12/12V-DC-Fan-120x120x32mm-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/12v-dc-fan-120mmx120mmx32mm/
"1/4W, 5%",,Rs.0.25,15Ω,15Ω,http://scionelectronics.com/wp-content/uploads/2016/11/0.25W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/15%cf%89/
"1/4W, 5%",,Rs.0.25,180k,180k,http://scionelectronics.com/wp-content/uploads/2016/11/0.25W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/180-k/
"1/4W, 5%",,Rs.0.25,12k,12k,http://scionelectronics.com/wp-content/uploads/2016/11/0.25W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/12k/
"1206,LED,Lighting,SMD",,Rs.1.75,1206 RED,1206 RED,http://scionelectronics.com/wp-content/uploads/2016/12/SMD-LED-1206-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/1206-red/
"1206,Capacitors,SMD",,Rs.3.00,1206 1uF 16V,1206 1uF 16V,http://scionelectronics.com/wp-content/uploads/2017/01/SMD-Capacitor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/1uf-16v-1206/
"1W, 5%",,Rs.1.25,10kΩ,10kΩ,http://scionelectronics.com/wp-content/uploads/2016/12/1W-Resistor-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/10k%cf%89/
