web-scraper-order,web-scraper-start-url,category,category-href,name,model,price,discount
"1533967975-13","https://buyabans.com/item/list/refrigerators","Side by Side Refrigerators","https://buyabans.com/item/list/side-by-side-refrigerators","LG-REFRIGERATOR 601L-PLATINUM SILVER 3","MODEL NO: GS-L6012PZ","Rs. 319,900","10%"
"1533967971-6","https://buyabans.com/item/list/refrigerators","Freezers","https://buyabans.com/item/list/freezers","HAIER-FREEZER (R600A)","MODEL NO: BD-19BE","Rs. 64,900","12%"
"1533967980-34","https://buyabans.com/item/list/refrigerators","Single Door Refrigerators","https://buyabans.com/item/list/single-door-refrigerators","WHIRLPOOL-REFRIGERATOR 190L-MIDNIGHT BLOOM","MODEL NO: 205 ICE MAGIC","Rs. 45,900","13%"
"1533967975-17","https://buyabans.com/item/list/refrigerators","Side by Side Refrigerators","https://buyabans.com/item/list/side-by-side-refrigerators","LG-REFRIGERATOR 838L-BLACK STAINLESS","MODEL NO: GF-J8381SB","Rs. 669,900","10%"
"1533967978-27","https://buyabans.com/item/list/refrigerators","Double Door Refrigerators","https://buyabans.com/item/list/double-door-refrigerators","LG-REFRIGERATOR INVERTER 255L-SCARLET ORCHID","MODEL NO: GL-B282RPHG","Rs. 83,900","11%"
"1533967978-22","https://buyabans.com/item/list/refrigerators","Double Door Refrigerators","https://buyabans.com/item/list/double-door-refrigerators","LG-REFRIGERATOR-205L' DARK GRAPHITE STEEL","MODEL NO: GN-B222SQBB","Rs. 67,900","12%"
"1533967978-23","https://buyabans.com/item/list/refrigerators","Double Door Refrigerators","https://buyabans.com/item/list/double-door-refrigerators","LG-REFRIGERATOR 260L-SHINY STEEL","MODEL NO: GL-M292SLLN","Rs. 76,900","15%"
"1533967971-7","https://buyabans.com/item/list/refrigerators","Freezers","https://buyabans.com/item/list/freezers","HAIER-DEEP FREEZER 629L","MODEL NO: BD-629H","Rs. 87,900","10%"
"1533967978-18","https://buyabans.com/item/list/refrigerators","Double Door Refrigerators","https://buyabans.com/item/list/double-door-refrigerators","HAIER-REFRIGERATOR 200L-HL SILVER","MODEL NO: HRF-220HS","Rs. 49,900","29%"
"1533967980-31","https://buyabans.com/item/list/refrigerators","Single Door Refrigerators","https://buyabans.com/item/list/single-door-refrigerators","WHIRLPOOL-REFRIGERATOR 190L-GOLD EXOTICA","MODEL NO: 205 ICE MAGIC","Rs. 45,900","13%"
"1533967980-37","https://buyabans.com/item/list/refrigerators","Single Door Refrigerators","https://buyabans.com/item/list/single-door-refrigerators","LG-REFRIGERATOR INVERTER 215L-SHINY STEEL","MODEL NO: GL-B231ALLB","Rs. 56,400","11%"
