web-scraper-order,web-scraper-start-url,category,category-href,name,model,price,discount
"1533969547-63","https://buyabans.com/item/list/washing-machines","Front Loading Washing Machines","https://buyabans.com/item/list/front-loading-washing-machines","LG Front Load Washing Machine 6.5 KG","MODEL NO: F1296WDL24","Rs. 138,900","13%
                                                
                                                OFF"
"1533969547-62","https://buyabans.com/item/list/washing-machines","Front Loading Washing Machines","https://buyabans.com/item/list/front-loading-washing-machines","LG Front Loader Washing Machine 6.5KG","MODEL NO: F1265NMTS","Rs. 137,900","9%
                                                
                                                OFF"
"1533969554-75","https://buyabans.com/item/list/washing-machines","Top Loading Washing Machines","https://buyabans.com/item/list/top-loading-washing-machines","LG Top Loader Washing Machine 12 KG","MODEL NO: T2312VSAM","Rs. 79,200","10%
                                                
                                                OFF"
"1533969547-64","https://buyabans.com/item/list/washing-machines","Front Loading Washing Machines","https://buyabans.com/item/list/front-loading-washing-machines","LG Washer Dryer 18KG","MODEL NO: F2718RVTV","Rs. 257,900","8%
                                                
                                                OFF"
"1533969545-54","https://buyabans.com/item/list/washing-machines","Commercial Washing Machines","https://buyabans.com/item/list/commercial-washing-machines","LG Commercial Gas Dryer 10.2KG","MODEL NO: RN1329AN7S","","null"
"1533969554-70","https://buyabans.com/item/list/washing-machines","Top Loading Washing Machines","https://buyabans.com/item/list/top-loading-washing-machines","HAIER-F/AUTO-WASHING MACHINE","MODEL NO: HWM70-918NZPE","Rs. 42,900","14%
                                                
                                                OFF"
"1533969547-61","https://buyabans.com/item/list/washing-machines","Front Loading Washing Machines","https://buyabans.com/item/list/front-loading-washing-machines","LG Front Load Washing Machine 7 KG","MODEL NO: F1007NMCW","Rs. 104,900","9%
                                                
                                                OFF"
"1533969545-56","https://buyabans.com/item/list/washing-machines","Commercial Washing Machines","https://buyabans.com/item/list/commercial-washing-machines","LG Commerical Washer 15KG","MODEL NO: FH0C7FD3","","null"
"1533969550-67","https://buyabans.com/item/list/washing-machines","Washer Dryer","https://buyabans.com/item/list/washer-dryer","HOOVER Washer Dryer 9KG/6KG","MODEL NO: WDXA 496A2-80","Rs. 190,900","17%
                                                
                                                OFF"
"1533969550-66","https://buyabans.com/item/list/washing-machines","Washer Dryer","https://buyabans.com/item/list/washer-dryer","Whirlpool Washer 10.5KG","MODEL NO: 3LWTW5550YW","Rs. 114,900","18%
                                                
                                                OFF"
